key_mlbam,key_fangraphs,name
605452,12972,Joe Ross
642578,17860,José Rodríguez
475416,2038,Justin Masterson
543243,12768,Sonny Gray
572888,10756,Shane Greene
622766,18815,Miguel Díaz
554234,11592,Williams Pérez
686613,25880,Hunter Brown
650382,19848,Darwinzon Hernández
666157,26378,Nick Lodolo
608566,15038,Germán Márquez
502706,4141,Derek Holland
571800,10732,Drew Hutchison
656457,17964,Tyler Gilbert
650633,19853,Mike King
592332,14107,Kevin Gausman
543964,12876,Tony Zych
669438,22288,Mason Englert
500724,8302,J. C. Ramírez
477003,4424,Jonathon Niese
680570,24492,Grayson Rodriguez
517414,5985,Randall Delgado
446372,2429,Corey Kluber
622072,13781,Alex Wood
608601,15006,Luis Santos
664069,20175,Ben Braymer
592869,12691,Tyler Wilson
623434,14033,Mike Hauschild
657240,16703,Julian Merryweather
434628,4538,Jason Hammel
685503,27505,Kohei Arihara
595881,16981,Tyler Beede
656794,16943,Sean Newcomb
517448,7655,Wilfredo Boscan
218596,921,Tim Hudson
656302,18525,Dylan Cease
519242,10603,Chris Sale
544365,5365,Manny Banuelos
621383,16990,Tanner Banks
517593,5867,Danny Salazar
641745,15734,Brad Keller
461325,5640,Tyler Clippard
665622,21649,Luis Medina
451596,8173,Yovani Gallardo
570649,11855,Yordano Ventura
669432,22286,Trevor Rogers
592612,11528,Josh Osich
665001,18454,Trevor Kelley
676664,23429,JP Sears
543242,12042,J. R. Graham
448802,8137,Jaime García
519085,3855,Brett Oberholtzer
601713,15454,Nick Pivetta
621249,14677,Duane Underwood
656657,20231,Zach Logue
595191,12664,Jerad Eickhoff
622797,18313,Pedro Payano
571656,14814,Buck Farmer
432934,3196,Chris Young
622251,18335,Josh Staumont
621016,17701,Jose Cuas
453178,6986,Ian Kennedy
453284,5224,Blake Parker
476451,4371,Jeremy Hellickson
669169,22224,Jonathan Heasley
543652,12751,Tyler Pill
656756,16511,Jordan Montgomery
645261,18684,Sandy Alcantara
592826,11189,Vince Velasquez
665665,19754,Reiver Sanmartin
621129,19686,Kyle Cody
538506,11652,Toru Murata
596071,18790,Dillon Peters
669854,19407,Ronel Blanco
642152,15043,Lou Trivino
686218,29839,Emmet Sheehan
518516,5524,Madison Bumgarner
641540,19409,Dane Dunning
456701,8362,Homer Bailey
669276,19996,Dylan Lee
456071,5057,Yohan Flande
592468,11694,Nick Kingham
664028,17877,Brett Kennedy
458006,4300,Matt Albers
434671,3284,Aníbal Sánchez
672710,22810,Roansy Contreras
669084,22207,DL Hall
657571,19349,Caleb Ferguson
554430,10310,Zack Wheeler
607219,13690,Sal Romano
641582,19647,Matt Foster
674370,23150,Osvaldo Bido
445060,3830,Ricky Nolasco
519166,7677,Neil Ramírez
669461,22294,Matthew Liberatore
543037,13125,Gerrit Cole
450729,9425,Doug Fister
594965,16110,Daniel Ponce de Leon
548389,13273,Ross Stripling
676194,20565,Jackson Tetreault
605164,12917,Dylan Bundy
656354,17117,Austin Davis
407890,1259,Colby Lewis
458924,7175,Jonny Venters
502748,5401,Brad Peacock
502046,2929,Jeff Locke
572403,13424,Drew VerHagen
647351,19844,Abraham Toro
672851,22925,Joan Adon
605304,12520,Erik Johnson
543424,8493,John Lamb
621219,13834,Alec Mills
622092,14169,Kyle Zimmer
664337,21111,Miguel Yajure
669952,19225,Mitch White
592773,15947,Ryne Stanek
608379,14078,Michael Wacha
622772,15690,Jimmy Cordero
657141,17585,Jordan Yamamoto
663629,26364,Ethan Small
545333,12703,Trevor Bauer
669947,19205,Jesse Scholtens
664074,17920,Cody Ponce
621244,14168,José Berríos
663855,19618,Jordan Hicks
433589,4020,Yusmeiro Petit
608371,13470,Lucas Sims
